Date,Ticker,Sector,Open,High,Low,Close,Volume,Daily_Return,MA_20,MA_50,Volatility_20d,Price_Range,Year,Month,Month_Name,Quarter,DayOfWeek,Cum_Return
2022-03-03,AAPL,Technology,108.7528,109.8375,108.6553,109.1985,12588156,-0.1681,116.5249,125.4519,2.1854,1.1822,2022,3,Mar,1,Thursday,-16.0012
2022-03-04,AAPL,Technology,108.45,109.6967,107.572,108.6503,4509355,-0.502,115.8224,125.0786,2.1422,2.1247,2022,3,Mar,1,Friday,-16.4228
2022-03-07,AAPL,Technology,105.2879,106.9939,103.9131,105.8022,4798782,-2.6213,115.0352,124.6595,2.1894,3.0808,2022,3,Mar,1,Monday,-18.6137
2022-03-08,AAPL,Technology,105.3541,106.4046,104.2201,104.4736,4456704,-1.2557,114.1669,124.23,2.1823,2.1845,2022,3,Mar,1,Tuesday,-19.6357
2022-03-09,AAPL,Technology,104.1652,104.6967,103.2315,103.6492,6895019,-0.7891,113.3813,123.8012,2.1612,1.4652,2022,3,Mar,1,Wednesday,-20.2698
2022-03-10,AAPL,Technology,104.9615,106.9269,103.7736,105.6629,6392594,1.9428,112.6535,123.4311,2.2196,3.1533,2022,3,Mar,1,Thursday,-18.7208
2022-03-11,AAPL,Technology,106.3233,107.0062,104.5994,106.3587,4900606,0.6585,112.0231,123.0896,2.235,2.4068,2022,3,Mar,1,Friday,-18.1856
2022-03-14,AAPL,Technology,102.2178,104.3526,100.7422,103.026,6631217,-3.1335,111.255,122.5502,2.3092,3.6104,2022,3,Mar,1,Monday,-20.7492
2022-03-15,AAPL,Technology,104.2234,104.6397,101.9052,103.6682,3987979,0.6233,110.5807,121.9992,2.3249,2.7345,2022,3,Mar,1,Tuesday,-20.2552
2022-03-16,AAPL,Technology,103.1765,105.4232,102.0424,102.9911,2893953,-0.6531,109.6749,121.4402,2.1304,3.3808,2022,3,Mar,1,Wednesday,-20.7761
2022-03-17,AAPL,Technology,102.4371,103.3229,101.7337,101.7774,4991001,-1.1785,108.7074,120.8254,2.1235,1.5892,2022,3,Mar,1,Thursday,-21.7097
2022-03-18,AAPL,Technology,103.1576,104.2308,102.4524,102.9387,12185545,1.141,107.9109,120.1601,2.1537,1.7784,2022,3,Mar,1,Friday,-20.8164
2022-03-21,AAPL,Technology,103.9646,105.0869,102.0372,104.8902,4418716,1.8958,107.1216,119.5442,2.1755,3.0497,2022,3,Mar,1,Monday,-19.3152
2022-03-22,AAPL,Technology,105.794,107.3453,105.6221,106.6904,3467727,1.7163,106.5525,118.9746,2.2088,1.7232,2022,3,Mar,1,Tuesday,-17.9305
2022-03-23,AAPL,Technology,104.4265,106.8222,103.8202,105.1214,3757855,-1.4706,105.8804,118.2958,2.2087,3.002,2022,3,Mar,1,Wednesday,-19.1374
2022-03-24,AAPL,Technology,103.9525,105.1173,103.6931,104.5784,3354038,-0.5165,105.625,117.5665,1.4955,1.4242,2022,3,Mar,1,Thursday,-19.5551
2022-03-25,AAPL,Technology,105.6349,105.6914,104.631,105.2438,7089037,0.6363,105.5318,116.8733,1.4196,1.0604,2022,3,Mar,1,Friday,-19.0432
2022-03-28,AAPL,Technology,107.5468,107.9262,106.5752,107.134,8618774,1.796,105.512,116.1894,1.4775,1.351,2022,3,Mar,1,Monday,-17.5892
2022-03-29,AAPL,Technology,106.8549,108.1147,106.0638,106.2528,14112604,-0.8225,105.3745,115.5104,1.451,2.0509,2022,3,Mar,1,Tuesday,-18.2671
2022-03-30,AAPL,Technology,105.9905,106.6476,105.5879,105.9402,5538438,-0.2942,105.2024,114.8474,1.4473,1.0597,2022,3,Mar,1,Wednesday,-18.5075
2022-03-31,AAPL,Technology,103.0508,104.4818,102.5985,103.8729,4259979,-1.9514,104.9361,114.1299,1.5024,1.8833,2022,3,Mar,1,Thursday,-20.0978
2022-04-01,AAPL,Technology,102.5488,102.9369,100.7339,101.6779,3837375,-2.1132,104.5875,113.4637,1.5593,2.203,2022,4,Apr,2,Friday,-21.7862
2022-04-04,AAPL,Technology,103.7438,103.7664,101.2158,103.2056,11860451,1.5025,104.4577,112.9107,1.5108,2.5506,2022,4,Apr,2,Monday,-20.6111
2022-04-05,AAPL,Technology,105.2494,106.1817,104.1758,105.7664,6629813,2.4813,104.5223,112.4344,1.591,2.0059,2022,4,Apr,2,Tuesday,-18.6412
2022-04-06,AAPL,Technology,106.0144,106.2592,104.0847,105.6716,6104642,-0.0896,104.6234,112.0025,1.5787,2.1745,2022,4,Apr,2,Wednesday,-18.7142
2022-04-07,AAPL,Technology,108.0928,108.7197,105.8169,107.6227,3185590,1.8464,104.7214,111.5941,1.573,2.9028,2022,4,Apr,2,Thursday,-17.2133
2022-04-08,AAPL,Technology,108.1147,108.5852,107.0935,108.3663,11604602,0.6909,104.8218,111.2414,1.5736,1.4917,2022,4,Apr,2,Friday,-16.6413
2022-04-11,AAPL,Technology,107.1256,107.5938,105.5508,107.1513,3754870,-1.1212,105.0281,110.9275,1.4116,2.043,2022,4,Apr,2,Monday,-17.5759
2022-04-12,AAPL,Technology,108.0705,109.5043,106.5511,107.8912,3657049,0.6905,105.2392,110.5626,1.4127,2.9532,2022,4,Apr,2,Tuesday,-17.0068
2022-04-13,AAPL,Technology,111.3522,111.7473,110.598,110.9212,4321890,2.8084,105.6357,110.2675,1.5102,1.1493,2022,4,Apr,2,Wednesday,-14.676
2022-04-14,AAPL,Technology,110.8787,111.4366,110.5088,110.8941,7354315,-0.0244,106.0916,109.9678,1.4689,0.9278,2022,4,Apr,2,Thursday,-14.6968
2022-04-15,AAPL,Technology,113.7726,116.9858,112.5864,114.0616,5865276,2.8563,106.6477,109.795,1.5593,4.3994,2022,4,Apr,2,Friday,-12.2603
2022-04-18,AAPL,Technology,108.5155,109.9955,107.3795,108.7286,3957400,-4.6755,106.8396,109.5386,1.9086,2.616,2022,4,Apr,2,Monday,-16.3626
2022-04-19,AAPL,Technology,111.3141,111.6584,108.835,110.3807,4363349,1.5195,107.0241,109.3095,1.9009,2.8234,2022,4,Apr,2,Tuesday,-15.0918
2022-04-20,AAPL,Technology,109.7487,110.6742,108.4716,110.5978,8228233,0.1967,107.298,109.1342,1.8604,2.2026,2022,4,Apr,2,Wednesday,-14.9248
2022-04-21,AAPL,Technology,109.9099,110.5358,109.2671,110.0468,2492882,-0.4982,107.5714,108.9308,1.86,1.2687,2022,4,Apr,2,Thursday,-15.3486
2022-04-22,AAPL,Technology,110.683,111.029,109.9259,110.2725,4257237,0.2051,107.8228,108.7569,1.8581,1.1031,2022,4,Apr,2,Friday,-15.175
2022-04-25,AAPL,Technology,107.0305,109.0187,106.0243,106.3715,9571664,-3.5376,107.7847,108.5165,2.0017,2.9944,2022,4,Apr,2,Monday,-18.1758
2022-04-26,AAPL,Technology,106.6961,106.9432,105.8061,105.9935,4824163,-0.3554,107.7717,108.2933,1.9946,1.1371,2022,4,Apr,2,Tuesday,-18.4665
2022-04-27,AAPL,Technology,106.7771,106.8128,106.5914,106.7172,2980110,0.6828,107.8106,108.0055,1.9988,0.2214,2022,4,Apr,2,Wednesday,-17.9098
2022-04-28,AAPL,Technology,110.4547,110.5323,107.6278,109.5988,7905840,2.7002,108.0969,107.775,2.0234,2.9045,2022,4,Apr,2,Thursday,-15.6932
2022-04-29,AAPL,Technology,108.5317,108.9589,106.4779,108.6202,21721755,-0.8929,108.444,107.57,1.9647,2.481,2022,4,Apr,2,Friday,-16.446
2022-05-02,AAPL,Technology,107.4045,108.4725,106.0807,107.0829,6792539,-1.4153,108.6378,107.2981,1.9828,2.3918,2022,5,May,2,Monday,-17.6285
2022-05-03,AAPL,Technology,107.0565,108.063,105.8943,106.1586,3611348,-0.8632,108.6575,107.0599,1.9207,2.1687,2022,5,May,2,Tuesday,-18.3395
2022-05-04,AAPL,Technology,107.841,108.1355,107.6297,107.9503,7725076,1.6878,108.7714,106.8476,1.9554,0.5058,2022,5,May,2,Wednesday,-16.9613
2022-05-05,AAPL,Technology,109.5016,109.9862,108.602,108.6322,13614583,0.6317,108.8219,106.8265,1.9176,1.3842,2022,5,May,2,Thursday,-16.4368
2022-05-06,AAPL,Technology,107.8681,108.0629,106.622,107.6398,8690242,-0.9135,108.7855,106.8371,1.9235,1.4409,2022,5,May,2,Friday,-17.2002
2022-05-09,AAPL,Technology,108.1211,109.8383,107.0554,108.6773,11302238,0.9639,108.8618,106.8601,1.917,2.7829,2022,5,May,2,Monday,-16.4021
2022-05-10,AAPL,Technology,103.7585,104.0404,102.7744,103.4768,4842197,-4.7853,108.6411,106.7496,2.197,1.266,2022,5,May,2,Tuesday,-20.4025
2022-05-11,AAPL,Technology,106.0253,106.3369,104.9995,105.3224,10247447,1.7836,108.3612,106.6684,2.1346,1.3374,2022,5,May,2,Wednesday,-18.9828
2022-05-12,AAPL,Technology,104.4801,104.7087,103.1309,104.0336,9062754,-1.2237,108.0182,106.5651,2.1451,1.5778,2022,5,May,2,Thursday,-19.9742
2022-05-13,AAPL,Technology,104.0349,105.178,102.7898,103.4616,6869809,-0.5498,107.4882,106.4613,2.0127,2.3882,2022,5,May,2,Friday,-20.4142
2022-05-16,AAPL,Technology,102.6536,102.9116,102.5374,102.7728,4585513,-0.6658,107.1904,106.4007,1.7546,0.3742,2022,5,May,2,Monday,-20.944
2022-05-17,AAPL,Technology,99.7904,100.1205,98.639,100.1065,2198043,-2.5944,106.6767,106.3134,1.7752,1.4815,2022,5,May,2,Tuesday,-22.995
2022-05-18,AAPL,Technology,101.0344,101.9327,98.7289,100.6801,3632630,0.573,106.1808,106.254,1.7847,3.2038,2022,5,May,2,Wednesday,-22.5538
2022-05-19,AAPL,Technology,100.6967,102.3985,100.5422,101.1935,3523236,0.5099,105.7381,106.1646,1.7975,1.8563,2022,5,May,2,Thursday,-22.1588
2022-05-20,AAPL,Technology,101.5498,102.1769,99.1909,101.2433,8168788,0.0492,105.2866,106.0623,1.7951,2.986,2022,5,May,2,Friday,-22.1205
2022-05-23,AAPL,Technology,100.8909,101.1858,100.444,100.8563,4950409,-0.3822,105.0109,106.0189,1.6376,0.7418,2022,5,May,2,Monday,-22.4182
2022-05-24,AAPL,Technology,98.0462,99.5568,96.5901,98.3271,8337164,-2.5077,104.6276,105.9121,1.7136,2.9667,2022,5,May,2,Tuesday,-24.3638
2022-05-25,AAPL,Technology,97.8116,99.9551,97.0246,97.622,6667015,-0.7171,104.1728,105.8047,1.6973,2.9305,2022,5,May,2,Wednesday,-24.9062
2022-05-26,AAPL,Technology,97.4399,98.1028,96.8132,97.0588,5267408,-0.5769,103.5458,105.7103,1.5289,1.2896,2022,5,May,2,Thursday,-25.3394
2022-05-27,AAPL,Technology,94.9386,95.7499,94.7759,95.696,6592776,-1.4041,102.8996,105.5655,1.5384,0.974,2022,5,May,2,Friday,-26.3877
2022-05-30,AAPL,Technology,94.7716,96.9109,94.6871,95.4565,3050002,-0.2503,102.3183,105.3768,1.5288,2.2238,2022,5,May,2,Monday,-26.5719
2022-05-31,AAPL,Technology,96.7136,97.6689,94.5336,96.1889,6097368,0.7673,101.8198,105.1668,1.5551,3.1353,2022,5,May,2,Tuesday,-26.0085
2022-06-01,AAPL,Technology,99.6907,100.5769,98.6507,99.4931,3059324,3.4351,101.3969,105.0542,1.7233,1.9262,2022,6,Jun,2,Wednesday,-23.4668
2022-06-02,AAPL,Technology,99.2725,100.0474,98.4016,99.8456,6586068,0.3543,100.9576,104.9595,1.7157,1.6458,2022,6,Jun,2,Thursday,-23.1957
2022-06-03,AAPL,Technology,100.3938,100.9369,100.0596,100.3484,2254528,0.5036,100.593,104.8616,1.7229,0.8773,2022,6,Jun,2,Friday,-22.8089
2022-06-06,AAPL,Technology,101.0894,101.4869,98.9932,100.254,4815624,-0.0941,100.1719,104.724,1.697,2.4937,2022,6,Jun,2,Monday,-22.8815
2022-06-07,AAPL,Technology,96.9191,97.0283,96.4574,96.8316,5315285,-3.4137,99.8396,104.5356,1.5294,0.5709,2022,6,Jun,2,Tuesday,-25.5142
2022-06-08,AAPL,Technology,97.3804,97.8538,96.5767,96.8241,6110655,-0.0077,99.4147,104.3533,1.4501,1.2771,2022,6,Jun,2,Wednesday,-25.5199
2022-06-09,AAPL,Technology,96.4652,98.1919,94.9383,96.9678,2684531,0.1484,99.0614,104.2152,1.442,3.2536,2022,6,Jun,2,Thursday,-25.4094
2022-06-10,AAPL,Technology,101.8175,102.4493,100.5739,101.306,3778072,4.4739,98.9536,104.2077,1.7975,1.8754,2022,6,Jun,2,Friday,-22.0723
2022-06-13,AAPL,Technology,94.7871,95.4927,94.5487,94.9174,3292886,-6.3062,98.5608,104.042,2.2723,0.944,2022,6,Jun,2,Monday,-26.9866
2022-06-14,AAPL,Technology,95.6194,97.4626,95.02,95.4705,3462471,0.5827,98.329,103.8361,2.2192,2.4426,2022,6,Jun,2,Tuesday,-26.5612
2022-06-15,AAPL,Technology,96.0724,96.2316,95.3376,95.4491,5110737,-0.0224,98.0675,103.6316,2.2121,0.894,2022,6,Jun,2,Wednesday,-26.5776
2022-06-16,AAPL,Technology,93.6596,93.7832,92.1863,95.4491,5716253,0.0,97.7803,103.3881,2.2059,1.5969,2022,6,Jun,2,Thursday,-26.5776
2022-06-17,AAPL,Technology,95.2523,95.5155,93.0364,95.4397,3345448,-0.0098,97.4901,103.1296,2.2055,2.4791,2022,6,Jun,2,Friday,-26.5848
2022-06-20,AAPL,Technology,96.6446,98.1972,95.7942,96.7696,8683828,1.3934,97.2858,102.922,2.2363,2.403,2022,6,Jun,2,Monday,-25.5618
2022-06-21,AAPL,Technology,99.0544,99.5572,96.7472,98.1862,4136599,1.4639,97.2787,102.7279,2.1949,2.81,2022,6,Jun,2,Tuesday,-24.4722
2022-06-22,AAPL,Technology,95.8977,96.7953,94.9405,96.6183,3503591,-1.5969,97.2285,102.4418,2.2191,1.8548,2022,6,Jun,2,Wednesday,-25.6782
2022-06-23,AAPL,Technology,98.8379,99.127,98.1512,99.0966,5619995,2.565,97.3304,102.2059,2.2883,0.9758,2022,6,Jun,2,Thursday,-23.7718
2022-06-24,AAPL,Technology,97.2968,98.65,96.2333,96.6357,14416391,-2.4833,97.3774,101.8574,2.3385,2.4167,2022,6,Jun,2,Friday,-25.6648
2022-06-27,AAPL,Technology,97.3862,98.7746,96.3226,97.6951,11538901,1.0963,97.4893,101.6367,2.348,2.452,2022,6,Jun,2,Monday,-24.8499
2022-06-28,AAPL,Technology,101.5225,101.9692,101.4344,101.5861,3557273,3.9828,97.7592,101.4608,2.4984,0.5348,2022,6,Jun,2,Tuesday,-21.8568
2022-06-29,AAPL,Technology,100.6377,101.1217,98.9885,99.8155,5441845,-1.743,97.7753,101.2451,2.4239,2.1332,2022,6,Jun,2,Wednesday,-23.2188
2022-06-30,AAPL,Technology,98.1205,100.0956,96.7119,98.838,4288974,-0.9793,97.7249,101.021,2.4333,3.3837,2022,6,Jun,2,Thursday,-23.9708
2022-07-01,AAPL,Technology,98.783,100.0277,98.24,99.0548,2895858,0.2193,97.6603,100.7966,2.4309,1.7877,2022,7,Jul,3,Friday,-23.804
2022-07-04,AAPL,Technology,99.0672,99.3469,98.1322,98.1968,7385192,-0.8662,97.5574,100.6331,2.4379,1.2147,2022,7,Jul,3,Monday,-24.464
2022-07-05,AAPL,Technology,96.0831,98.0765,95.1571,95.4952,5503930,-2.7512,97.4906,100.4232,2.3943,2.9194,2022,7,Jul,3,Tuesday,-26.5422
2022-07-06,AAPL,Technology,95.0103,95.9173,94.5766,95.6512,6690147,0.1634,97.4319,100.2018,2.3947,1.3407,2022,7,Jul,3,Wednesday,-26.4222
2022-07-07,AAPL,Technology,94.2132,94.8771,92.7359,93.8605,1996379,-1.8721,97.2766,99.8871,2.429,2.1412,2022,7,Jul,3,Thursday,-27.7996
2022-07-08,AAPL,Technology,94.5226,95.1311,92.6853,94.6982,2839736,0.8925,96.9462,99.6086,2.1919,2.4458,2022,7,Jul,3,Friday,-27.1552
2022-07-11,AAPL,Technology,93.1951,93.2002,92.4657,93.1688,5208816,-1.615,96.8588,99.3303,1.7162,0.7345,2022,7,Jul,3,Monday,-28.3317
2022-07-12,AAPL,Technology,95.5995,95.8907,95.1094,95.8054,6747924,2.8299,96.8755,99.1233,1.8315,0.7813,2022,7,Jul,3,Tuesday,-26.3035
2022-07-13,AAPL,Technology,94.1608,94.6418,93.5181,94.493,6538402,-1.3699,96.8277,98.8541,1.8582,1.1237,2022,7,Jul,3,Wednesday,-27.3131
2022-07-14,AAPL,Technology,93.7227,94.743,93.6799,93.983,5444938,-0.5397,96.7544,98.5612,1.8616,1.0631,2022,7,Jul,3,Thursday,-27.7054
2022-07-15,AAPL,Technology,95.9506,95.9721,94.6947,95.3968,10019585,1.5043,96.7522,98.3163,1.8943,1.2774,2022,7,Jul,3,Friday,-26.6178
2022-07-18,AAPL,Technology,92.7752,93.7899,90.6539,93.3214,5162475,-2.1755,96.5798,98.0092,1.9255,3.136,2022,7,Jul,3,Monday,-28.2143
2022-07-19,AAPL,Technology,93.1441,94.2551,92.9864,93.7408,5143649,0.4494,96.3576,97.8145,1.8934,1.2687,2022,7,Jul,3,Tuesday,-27.8917
2022-07-20,AAPL,Technology,96.7887,97.2463,94.4269,95.9839,3618910,2.3929,96.3258,97.6277,1.9495,2.8194,2022,7,Jul,3,Wednesday,-26.1662
2022-07-21,AAPL,Technology,93.2553,94.0436,93.1241,93.245,2730788,-2.8535,96.0333,97.4119,1.9485,0.9195,2022,7,Jul,3,Thursday,-28.2731
2022-07-22,AAPL,Technology,93.7937,94.299,92.7781,93.5922,6159731,0.3724,95.8811,97.2145,1.8826,1.5209,2022,7,Jul,3,Friday,-28.006
2022-07-25,AAPL,Technology,93.3248,94.2482,92.0627,94.0675,5385831,0.5078,95.6997,97.0404,1.8667,2.1855,2022,7,Jul,3,Monday,-27.6404
2022-07-26,AAPL,Technology,96.2597,96.5492,94.9448,95.4289,4071340,1.4473,95.3918,96.9469,1.6422,1.6044,2022,7,Jul,3,Tuesday,-26.5932
2022-07-27,AAPL,Technology,92.7062,93.8576,92.4521,93.3423,4117925,-2.1865,95.0682,96.8001,1.6656,1.4055,2022,7,Jul,3,Wednesday,-28.1982
2022-07-28,AAPL,Technology,91.1766,91.3164,89.9023,91.1611,7890468,-2.3368,94.6843,96.5995,1.7206,1.4141,2022,7,Jul,3,Thursday,-29.8761
2022-07-29,AAPL,Technology,92.2593,94.3752,91.2799,92.054,2524387,0.9795,94.3343,96.4157,1.743,3.0953,2022,7,Jul,3,Friday,-29.1892
2022-08-01,AAPL,Technology,92.3625,92.7702,91.3561,92.5829,4267861,0.5746,94.0536,96.2502,1.7503,1.4141,2022,8,Aug,3,Monday,-28.7824
2022-08-02,AAPL,Technology,93.4286,93.9114,90.8678,93.0374,3804998,0.4909,93.9307,96.1444,1.657,3.0436,2022,8,Aug,3,Tuesday,-28.4328
2022-08-03,AAPL,Technology,93.7143,94.0446,92.8169,93.6548,4923247,0.6636,93.8309,96.0651,1.6652,1.2277,2022,8,Aug,3,Wednesday,-27.9578
2022-08-04,AAPL,Technology,92.6258,93.6224,92.4139,92.5459,4932202,-1.184,93.7652,95.9748,1.6333,1.2085,2022,8,Aug,3,Thursday,-28.8108
2022-08-05,AAPL,Technology,92.3842,93.7507,91.4067,92.9698,3247824,0.458,93.6787,95.9203,1.6229,2.344,2022,8,Aug,3,Friday,-28.4848
2022-08-08,AAPL,Technology,93.4571,94.6519,92.0993,93.4974,10433513,0.5675,93.6952,95.8811,1.5872,2.5526,2022,8,Aug,3,Monday,-28.0789
2022-08-09,AAPL,Technology,92.9843,93.1582,91.3834,92.3326,2854871,-1.2458,93.5215,95.804,1.4657,1.7748,2022,8,Aug,3,Tuesday,-28.9749
2022-08-10,AAPL,Technology,95.3632,96.0529,94.944,95.4704,14703594,3.3984,93.5704,95.7235,1.6386,1.1089,2022,8,Aug,3,Wednesday,-26.5612
2022-08-11,AAPL,Technology,96.5992,97.1243,96.0832,96.3229,7457256,0.8929,93.6874,95.6531,1.6421,1.0411,2022,8,Aug,3,Thursday,-25.9055
2022-08-12,AAPL,Technology,94.4893,94.5165,93.6565,94.2959,6292912,-2.1044,93.6324,95.532,1.6816,0.86,2022,8,Aug,3,Friday,-27.4647
